Model,Accuracy,LogLoss,F1,TN,FP,FN,TP
baseline2,0.985625,0.04035194220006496,0.985598717659729,118494,1506,1944,118056
robust (baseline3),0.9855083333333333,0.04139511241454271,0.985483049644798,118470,1530,1948,118052
strong (baseline4),0.9874166666666667,0.036967579542228145,0.9873914495657983,118730,1270,1750,118250
baseline1,0.9805333333333334,0.05485477944281453,0.9804952991667084,117898,2102,2570,117430
